UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;PORTUGAL;Residente;65585
SP;REINO UNIDO;Residente;3775
SP;ARGENTINA;Residente;24168
SP;BOLÍVIA;Temporário;36665
SP;PERU;Residente;16130
SP;CHINA;Residente;38407
SP;ESTADOS UNIDOS;Residente;11272
SP;ALEMANHA;Residente;10012
SP;JAPÃO;Residente;36181
SP;CHILE;Residente;15602
SP;BOLÍVIA;Residente;107106
SP;ESPANHA;Residente;19289
SP;URUGUAI;Residente;5445
SP;CONGO;Provisório;929
SP;COLÔMBIA;Temporário;5883
SP;PARAGUAI;Residente;11803
SP;CORÉIA DO SUL;Residente;15897
SP;COLÔMBIA;Residente;13419
SP;VENEZUELA;Temporário;18378
SP;PAÍSES BAIXOS;Residente;2371
SP;MÉXICO;Residente;3025
SP;ITÁLIA;Residente;21183
SP;ESTADOS UNIDOS;Temporário;2008
SP;FRANÇA;Residente;7395
SP;BÉLGICA;Residente;1086
SP;HONG-KONG (R.A.E.);Residente;50
SP;ANGOLA;Residente;7078
SP;CANADÁ;Residente;1329
SP;ANGOLA;Temporário;8187
SP;HAITI;Residente;29784
SP;CROÁCIA;Residente;89
SP;COSTA RICA;Temporário;81
SP;URUGUAI;Temporário;50
SP;SENEGAL;Residente;2521
SP;CUBA;Provisório;6897
SP;JAPÃO;Temporário;652
SP;CHINA;Temporário;4835
SP;PARAGUAI;Temporário;3157
SP;SUÉCIA;Residente;984
SP;LÍBANO;Residente;6458
SP;UCRÂNIA;Residente;318
SP;NIGÉRIA;Residente;4716
SP;CUBA;Residente;4404
SP;EL SALVADOR;Residente;209
SP;GRÉCIA;Residente;915
SP;EGITO;Residente;1420
SP;EQUADOR;Temporário;1849
SP;HAITI;Temporário;3342
SP;NORUEGA;Residente;239
SP;NEPAL;Residente;56
SP;GUINÉ BISSAU;Temporário;363
SP;EQUADOR;Residente;2400
SP;CHINA;Provisório;420
SP;VENEZUELA;Residente;29342
SP;SUÍCA;Residente;1938
SP;SÍRIA;Residente;4055
SP;BANGLADESH;Residente;2005
SP;EL SALVADOR;Temporário;62
SP;AUSTRÁLIA;Residente;597
SP;PAQUISTÃO;Provisório;62
SP;PERU;Temporário;4790
SP;POLÔNIA;Residente;1052
SP;GANA;Provisório;509
SP;CHILE;Temporário;898
SP;HUNGRIA;Residente;454
SP;ETIÓPIA;Residente;37
SP;INDIA;Residente;1445
SP;APÁTRIDA;Residente;542
SP;MOÇAMBIQUE;Residente;345
SP;COSTA RICA;Residente;306
SP;GUINÉ BISSAU;Residente;1047
SP;AFEGANISTÃO;Temporário;669
SP;MOÇAMBIQUE;Temporário;390
SP;MARROCOS;Provisório;906
SP;AUSTRIA;Residente;983
SP;GUINÉ;Provisório;245
SP;GUIANA FRANCESA;Residente;63
SP;LITUÂNIA;Residente;906
SP;ANGOLA;Provisório;811
SP;JORDÂNIA;Residente;269
SP;ARGENTINA;Temporário;933
SP;TONGA;Temporário;6
SP;ISRAEL;Residente;962
SP;PALESTINA;Residente;598
SP;IRÃ;Residente;592
SP;CAZAQUISTÃO;Provisório;6
SP;ESPANHA;Temporário;271
SP;BOTSUANA;Residente;1
SP;FINLÂNDIA;Residente;285
SP;SUDÃO;Residente;210
SP;ALEMANHA;Temporário;478
SP;NIGÉRIA;Provisório;461
SP;RÚSSIA;Residente;1295
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;325
SP;PORTUGAL;Temporário;522
SP;AFRICA DO SUL;Residente;391
SP;MALÁSIA;Residente;107
SP;TURQUIA;Residente;853
SP;IRLANDA;Residente;391
SP;BANGLADESH;Provisório;446
SP;TAIWAN, PROVINCIA DA CHINA;Residente;155
SP;NIGÉRIA;Temporário;170
SP;GUATEMALA;Residente;215
SP;MARROCOS;Residente;895
SP;BOLÍVIA;Provisório;75
SP;DOMINICA;Residente;44
SP;CABO VERDE;Residente;326
SP;PAQUISTÃO;Residente;679
SP;TOGO;Provisório;271
SP;IRAQUE;Residente;259
SP;TANZÂNIA;Residente;78
SP;ISRAEL;Temporário;47
SP;FILIPINAS;Temporário;325
SP;IRÃ;Residente;2
SP;GANA;Residente;347
SP;NOVA ZELÂNDIA;Residente;146
SP;COLÔMBIA;Provisório;180
SP;CAMARÕES;Residente;309
SP;TUNÍSIA;Provisório;465
SP;SENEGAL;Provisório;68
SP;GUATEMALA;Temporário;83
SP;BANGLADESH;Temporário;788
SP;FILIPINAS;Residente;632
SP;MALI;Residente;227
SP;MAURITÂNIA;Provisório;268
SP;TURQUIA;Provisório;60
SP;VENEZUELA;Provisório;1225
SP;HONDURAS;Residente;125
SP;CABO VERDE;Temporário;101
SP;IRÃ;Provisório;126
SP;PANAMÁ;Residente;273
SP;INDONÉSIA;Residente;203
SP;IÊMEN;Residente;213
SP;FRANÇA;Temporário;640
SP;REP. DOMINICANA;Residente;416
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;251
SP;DINAMARCA;Residente;448
SP;MÉXICO;Temporário;428
SP;ARÁBIA SAUDITA;Residente;37
SP;BENIN;Residente;170
SP;ISLÂNDIA;Residente;18
SP;AFEGANISTÃO;Provisório;111
SP;ISRAEL;Provisório;11
SP;NOVA ZELÂNDIA;Temporário;18
SP;ROMÊNIA;Temporário;40
SP;TUNÍSIA;Residente;335
SP;REINO UNIDO;Temporário;200
SP;SERRA LEOA;Residente;115
SP;MADAGASCAR;Temporário;195
SP;ROMÊNIA;Residente;1267
SP;GUINÉ;Residente;308
SP;BURUNDI;Residente;28
SP;TAIWAN, PROVINCIA DA CHINA;Temporário;24
SP;REP. DOMINICANA;Provisório;279
SP;SERVIA E MONTENEGRO;Residente;984
SP;TOGO;Residente;202
SP;LÍBANO;Temporário;68
SP;BURKINA FASO;Residente;138
SP;SERRA LEOA;Provisório;11
SP;RÚSSIA;Provisório;147
SP;LÍBIA;Residente;240
SP;ZIMBÁBUE;Residente;16
SP;SAO TOMÉ E PRÍNCIPE;Temporário;34
SP;AFEGANISTÃO;Residente;881
SP;IRLANDA;Temporário;20
SP;CONGO;Residente;457
SP;SURINAME;Temporário;10
SP;BELARUS;Residente;58
SP;AFRICA DO SUL;Provisório;57
SP;TRINIDAD E TOBAGO;Residente;30
SP;LIBÉRIA;Residente;27
SP;INDIA;Temporário;396
SP;REPÚBLICA TCHECA;Residente;133
SP;QUÊNIA;Temporário;98
SP;AFRICA DO SUL;Temporário;74
SP;VIETINA;Residente;76
SP;AUSTRÁLIA;Temporário;30
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;36
SP;TCHECOSLOVAQUIA;Residente;104
SP;PORTO RICO;Residente;2
SP;ARGÉLIA;Residente;111
SP;SÉRVIA;Temporário;8
SP;TURQUIA;Temporário;35
SP;SOMÁLIA;Residente;16
SP;LÍBANO;Provisório;226
SP;ARMÊNIA;Residente;64
SP;LUXEMBURGO;Residente;27
SP;MÉXICO;Provisório;24
SP;MAURÍCIO;Residente;24
SP;QUÊNIA;Residente;61
SP;RÚSSIA;Temporário;134
SP;CAMARÕES;Temporário;21
SP;NICARÁGUA;Residente;169
SP;UGANDA;Provisório;9
SP;TOGO;Temporário;28
SP;GÂMBIA;Provisório;36
SP;SÍRIA;Temporário;51
SP;ITÁLIA;Temporário;429
SP;CORÉIA DO SUL;Temporário;124
SP;CINGAPURA;Residente;75
SP;BULGÁRIA;Residente;129
SP;PANAMÁ;Temporário;55
SP;HONDURAS;Temporário;202
SP;ESTÔNIA;Residente;49
SP;ZÂMBIA;Provisório;1
SP;ESLOVÁQUIA;Residente;57
SP;MOLDOVA;Provisório;1
SP;SUÉCIA;Temporário;129
SP;CANADÁ;Temporário;93
SP;ESTADOS UNIDOS;Provisório;26
SP;EGITO;Temporário;20
SP;SÃO CRISTOVÃO E NEVIS;Residente;12
SP;REP. DOMINICANA;Temporário;352
SP;PAQUISTÃO;Temporário;98
SP;GUIANA FRANCESA;Temporário;4
SP;GUIANA;Temporário;8
SP;UCRÂNIA;Temporário;129
SP;BENIN;Provisório;111
SP;ILHAS CANARIAS;Residente;7
SP;CUBA;Temporário;278
SP;EGITO;Provisório;123
SP;COSTA DO MARFIM;Provisório;25
SP;LIBÉRIA;Provisório;1
SP;TAILÂNDIA;Temporário;16
SP;SUÍCA;Temporário;45
SP;UNIÃO SOVIÉTICA;Residente;50
SP;LETÔNIA;Residente;138
SP;ANTILHAS HOLÂNDESAS;Residente;4
SP;CINGAPURA;Temporário;13
SP;ARGENTINA;Provisório;29
SP;IRÃ;Temporário;84
SP;GUAM;Residente;3
SP;MARROCOS;Temporário;24
SP;IÊMEN;Provisório;17
SP;GABÃO;Residente;4
SP;GUIANA;Residente;36
SP;SEYCHELLES;Residente;2
SP;BENIN;Temporário;42
SP;VANUATU;Residente;3
SP;JAMAICA;Provisório;30
SP;CHADE;Temporário;2
SP;SENEGAL;Temporário;27
SP;DOMINICA;Temporário;5
SP;HAITI;Provisório;57
SP;SÉRVIA;Residente;99
SP;ESLOVÊNIA;Residente;33
SP;BÉLGICA;Temporário;64
SP;NICARÁGUA;Temporário;39
SP;IUGUSLAVIA;Residente;6
SP;CHADE;Residente;8
SP;SAO TOMÉ E PRÍNCIPE;Residente;27
SP;DINAMARCA;Temporário;38
SP;ALBÂNIA;Residente;24
SP;UGANDA;Residente;22
SP;TAILÂNDIA;Residente;112
SP;BÓSNIA-HERZEGOVINA;Residente;21
SP;BARBADOS;Residente;3
SP;GEÓRGIA;Residente;20
SP;FILIPINAS;Provisório;82
SP;ARMÊNIA;Provisório;7
SP;JAMAICA;Residente;18
SP;ETIÓPIA;Provisório;7
SP;NEPAL;Provisório;16
SP;VIETNAM DO NORTE;Residente;9
SP;ESPANHA;Provisório;12
SP;NORUEGA;Temporário;24
SP;CORÉIA DO NORTE;Residente;6
SP;ETIÓPIA;Temporário;23
SP;ZÂMBIA;Residente;15
SP;AUSTRIA;Temporário;56
SP;PERU;Provisório;38
SP;COSTA DO MARFIM;Residente;89
SP;PAÍSES BAIXOS;Temporário;78
SP;ALEMANHA;Provisório;11
SP;TANZÂNIA;Temporário;8
SP;CORÉIA DO SUL;Provisório;67
SP;MACEDÔNIA;Residente;16
SP;TAILÂNDIA;Provisório;41
SP;CONGO;Temporário;20
SP;EMIRADOS ÁRABES;Residente;15
SP;INDIA;Provisório;19
SP;SAARA OCIDENTAL;Temporário;1
SP;BERMUDAS;Residente;3
SP;NAMÍBIA;Provisório;22
SP;REPÚBLICA TCHECA;Temporário;24
SP;CHIPRE;Residente;15
SP;LESOTO;Provisório;1
SP;MOÇAMBIQUE;Provisório;31
SP;ARGÉLIA;Provisório;30
SP;MADAGASCAR;Provisório;1
SP;SANTA LÚCIA;Residente;3
SP;PARAGUAI;Provisório;12
SP;UGANDA;Temporário;15
SP;MALI;Temporário;1
SP;GUINÉ BISSAU;Provisório;15
SP;NÍGER;Residente;2
SP;BAHAMA,IS;Residente;6
SP;BUTÃO;Residente;10
SP;ZIMBÁBUE;Temporário;48
SP;CHIPRE;Temporário;4
SP;UZBEQUISTÃO;Residente;10
SP;VIETINA;Temporário;7
SP;MALAVI;Residente;4
SP;INDONÉSIA;Provisório;8
SP;CAMBOJA;Residente;6
SP;CAMARÕES;Provisório;83
SP;GRÉCIA;Temporário;68
SP;CAZAQUISTÃO;Residente;32
SP;PALESTINA;Provisório;38
SP;FIJI, ILHAS;Temporário;1
SP;SOMÁLIA;Provisório;14
SP;TANZÂNIA;Provisório;30
SP;COSTA DO MARFIM;Temporário;11
SP;GUINÉ EQUATORIAL;Temporário;17
SP;SAMOA OCIDENTAL;Temporário;15
SP;QUIRGUISTÃO;Residente;6
SP;ITÁLIA;Provisório;6
SP;BURUNDI;Temporário;8
