UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;ARGENTINA;1
AC;ENTRADA;PERMANENTE;BOLÍVIA;65
AC;ENTRADA;PERMANENTE;CHILE;3
AC;ENTRADA;PERMANENTE;COLÔMBIA;7
AC;ENTRADA;PERMANENTE;FRANÇA;1
AC;ENTRADA;PERMANENTE;MARROCOS;1
AC;ENTRADA;PERMANENTE;PARAGUAI;1
AC;ENTRADA;PERMANENTE;PERU;149
AC;ENTRADA;PERMANENTE;PORTUGAL;3
AC;ENTRADA;PERMANENTE;RÚSSIA;1
AC;ENTRADA;PERMANENTE;VENEZUELA;3
AC;ENTRADA;VISITANTE;ALEMANHA;9
AC;ENTRADA;VISITANTE;ARGENTINA;4
AC;ENTRADA;VISITANTE;AUSTRÁLIA;1
AC;ENTRADA;VISITANTE;BOLÍVIA;587
AC;ENTRADA;VISITANTE;CANADÁ;1
AC;ENTRADA;VISITANTE;CHILE;16
AC;ENTRADA;VISITANTE;COLÔMBIA;20
AC;ENTRADA;VISITANTE;DINAMARCA;1
AC;ENTRADA;VISITANTE;EQUADOR;14
AC;ENTRADA;VISITANTE;ESPANHA;4
AC;ENTRADA;VISITANTE;ESTADOS UNIDOS;2
AC;ENTRADA;VISITANTE;FRANÇA;3
AC;ENTRADA;VISITANTE;ISRAEL;1
AC;ENTRADA;VISITANTE;ITÁLIA;1
AC;ENTRADA;VISITANTE;KUWAIT;2
AC;ENTRADA;VISITANTE;MÉXICO;5
AC;ENTRADA;VISITANTE;PAÍSES BAIXOS;2
AC;ENTRADA;VISITANTE;PERU;2159
AC;ENTRADA;VISITANTE;PORTUGAL;2
AC;ENTRADA;VISITANTE;REINO UNIDO;1
AC;ENTRADA;VISITANTE;REPÚBLICA DOMINICANA;1
AC;ENTRADA;VISITANTE;RÚSSIA;3
AC;ENTRADA;VISITANTE;SUÉCIA;1
AC;ENTRADA;VISITANTE;SUÍÇA;1
AC;ENTRADA;VISITANTE;UCRÂNIA;1
AC;ENTRADA;VISITANTE;URUGUAI;2
AC;ENTRADA;VISITANTE;VENEZUELA;55
AC;ENTRADA;VISITANTE;ÁFRICA DO SUL;1
AC;ENTRADA;VISITANTE;ÁUSTRIA;1
AC;ENTRADA;VISITANTE;BOLÍVIA;1
AC;ENTRADA;VISITANTE;PERU;2
AC;ENTRADA;VISITANTE;ARGENTINA;1
AC;ENTRADA;VISITANTE;BOLÍVIA;173
AC;ENTRADA;VISITANTE;BÉLGICA;1
AC;ENTRADA;VISITANTE;IRLANDA;1
AC;ENTRADA;VISITANTE;PERU;67
AC;ENTRADA;VISITANTE;REINO UNIDO;2
AC;ENTRADA;VISITANTE;SUÍÇA;1
AC;ENTRADA;VISITANTE;VENEZUELA;7
AC;ENTRADA;VISITANTE;BOLÍVIA;2
AC;ENTRADA;VISITANTE;COLÔMBIA;1
AC;ENTRADA;VISITANTE;PERU;4
AC;ENTRADA;OUTROS;PERU;4
AC;ENTRADA;OUTROS;BOLÍVIA;302
AC;ENTRADA;OUTROS;BRASIL;41
AC;ENTRADA;OUTROS;PERU;49
AC;ENTRADA;OUTROS;COLÔMBIA;9
AC;ENTRADA;OUTROS;CUBA;8
AC;ENTRADA;OUTROS;EGITO;1
AC;ENTRADA;OUTROS;EQUADOR;6
AC;ENTRADA;OUTROS;ESTADOS UNIDOS;1
AC;ENTRADA;OUTROS;JORDÂNIA;1
AC;ENTRADA;OUTROS;KUWAIT;1
AC;ENTRADA;OUTROS;MÉXICO;1
AC;ENTRADA;OUTROS;PALESTINA;1
AC;ENTRADA;OUTROS;PERU;1
AC;ENTRADA;OUTROS;SUDÃO;3
AC;ENTRADA;OUTROS;VENEZUELA;47
AC;ENTRADA;OUTROS;VENEZUELA;1
AC;ENTRADA;OUTROS;BOLÍVIA;6
AC;ENTRADA;OUTROS;CHILE;6
AC;ENTRADA;OUTROS;COLÔMBIA;3
AC;ENTRADA;OUTROS;CUBA;1
AC;ENTRADA;OUTROS;EQUADOR;2
AC;ENTRADA;OUTROS;HAITI;1
AC;ENTRADA;OUTROS;PERU;24
AC;ENTRADA;OUTROS;VENEZUELA;263
AC;ENTRADA;OUTROS;ITÁLIA;2
AC;ENTRADA;OUTROS;PERU;8
AC;ENTRADA;OUTROS;BRASIL;4667
AC;SAIDA;PERMANENTE;ARGENTINA;1
AC;SAIDA;PERMANENTE;AUSTRÁLIA;1
AC;SAIDA;PERMANENTE;BOLÍVIA;48
AC;SAIDA;PERMANENTE;CHILE;1
AC;SAIDA;PERMANENTE;COLÔMBIA;8
AC;SAIDA;PERMANENTE;EQUADOR;1
AC;SAIDA;PERMANENTE;FRANÇA;2
